Timestamp,Control Module Voltage,Engine RPM,Battery Voltage,Coolant Temperature,Speed,MAF Sensor,O2 Sensor
2024-11-28 11:32:39,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:41,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:44,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:46,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:48,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:50,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:52,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:55,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:57,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:59,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:01,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:03,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:06,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:08,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:10,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:12,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:15,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:17,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:19,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:21,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:23,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:26,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:28,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:30,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:32,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:34,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:37,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:39,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:41,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:43,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:45,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:48,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:50,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:52,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:54,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:57,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:59,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:01,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:03,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:05,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:08,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:10,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:12,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:14,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:16,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:19,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:21,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:23,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:25,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:27,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:30,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:32,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:34,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:36,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:38,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:41,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:43,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:45,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:47,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:49,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:52,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:54,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:56,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:34:58,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:00,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:03,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:05,,0.0 revolutions_per_minute,11.8 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:07,,0.0 revolutions_per_minute,11.7 volt,64 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:09,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:11,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:14,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:16,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:18,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:21,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:23,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:25,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:27,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:30,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:32,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:34,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:36,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:38,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:41,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:43,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:45,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:47,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:50,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:52,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:54,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:56,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:35:58,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:01,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:03,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:05,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:07,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:09,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:12,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:14,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:16,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:18,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:21,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:23,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:25,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:27,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:29,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:32,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:34,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:36,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:38,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:40,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:43,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:45,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:47,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:49,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:51,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:54,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:56,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:36:58,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:00,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:02,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:05,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:07,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:09,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:11,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:14,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:16,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:18,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:20,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:22,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:25,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:27,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:29,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:31,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:34,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:36,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:38,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:40,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:43,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:45,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:47,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:49,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:51,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:54,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:56,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:37:58,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:00,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:02,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:05,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:07,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:09,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:11,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:14,,0.0 revolutions_per_minute,11.8 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:16,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:18,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:20,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:22,,0.0 revolutions_per_minute,11.7 volt,63 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:25,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:27,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:29,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:31,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:34,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:36,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:38,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:40,,0.0 revolutions_per_minute,11.8 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:42,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:45,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:47,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:49,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:51,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:53,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:56,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:38:58,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:00,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:02,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:04,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:07,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:09,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:11,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:13,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:15,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:18,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:20,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:22,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:24,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:26,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:28,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:31,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:39:33,,0.0 revolutions_per_minute,11.7 volt,62 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
